runID,parTab_file,exposureTab_file,form,antigenic_seniority,cr,priming,types,wane,y0_mod,runName
26,G_parTab,D_exposureTab,C,N,T,Y,6,M,N,CNTY6MN
27,F_parTab,E_exposureTab,C,N,A,Y,3,M,N,CNAY3MN
28,H_parTab,E_exposureTab,C,N,T,Y,3,M,N,CNTY3MN
29,E_parTab,D_exposureTab,C,N,A,Y,6,B,N,CNAY6BN
30,G_parTab,D_exposureTab,C,N,T,Y,6,B,N,CNTY6BN
31,F_parTab,E_exposureTab,C,N,A,Y,3,B,N,CNAY3BN
32,H_parTab,E_exposureTab,C,N,T,Y,3,B,N,CNTY3BN
33,E_parTab,B_exposureTab,C,Y,A,N,6,M,Y,CYAN6MY
34,G_parTab,B_exposureTab,C,Y,T,N,6,M,Y,CYTN6MY
35,F_parTab,C_exposureTab,C,Y,A,N,3,M,Y,CYAN3MY
36,H_parTab,C_exposureTab,C,Y,T,N,3,M,Y,CYTN3MY
37,E_parTab,B_exposureTab,C,Y,A,N,6,B,Y,CYAN6BY
38,G_parTab,B_exposureTab,C,Y,T,N,6,B,Y,CYTN6BY
39,F_parTab,C_exposureTab,C,Y,A,N,3,B,Y,CYAN3BY
40,H_parTab,C_exposureTab,C,Y,T,N,3,B,Y,CYTN3BY
41,E_parTab,B_exposureTab,C,Y,A,N,6,M,N,CYAN6MN
42,G_parTab,B_exposureTab,C,Y,T,N,6,M,N,CYTN6MN
43,F_parTab,C_exposureTab,C,Y,A,N,3,M,N,CYAN3MN
44,H_parTab,C_exposureTab,C,Y,T,N,3,M,N,CYTN3MN
45,E_parTab,B_exposureTab,C,Y,A,N,6,B,N,CYAN6BN
46,G_parTab,B_exposureTab,C,Y,T,N,6,B,N,CYTN6BN
47,F_parTab,C_exposureTab,C,Y,A,N,3,B,N,CYAN3BN
48,H_parTab,C_exposureTab,C,Y,T,N,3,B,N,CYTN3BN
49,E_parTab,D_exposureTab,C,Y,A,Y,6,M,Y,CYAY6MY
50,G_parTab,D_exposureTab,C,Y,T,Y,6,M,Y,CYTY6MY
51,F_parTab,E_exposureTab,C,Y,A,Y,3,M,Y,CYAY3MY
52,H_parTab,E_exposureTab,C,Y,T,Y,3,M,Y,CYTY3MY
53,E_parTab,D_exposureTab,C,Y,A,Y,6,B,Y,CYAY6BY
54,G_parTab,D_exposureTab,C,Y,T,Y,6,B,Y,CYTY6BY
55,F_parTab,E_exposureTab,C,Y,A,Y,3,B,Y,CYAY3BY
56,H_parTab,E_exposureTab,C,Y,T,Y,3,B,Y,CYTY3BY
57,E_parTab,D_exposureTab,C,Y,A,Y,6,M,N,CYAY6MN
58,G_parTab,D_exposureTab,C,Y,T,Y,6,M,N,CYTY6MN
59,F_parTab,E_exposureTab,C,Y,A,Y,3,M,N,CYAY3MN
60,H_parTab,E_exposureTab,C,Y,T,Y,3,M,N,CYTY3MN
61,E_parTab,D_exposureTab,C,Y,A,Y,6,B,N,CYAY6BN
62,G_parTab,D_exposureTab,C,Y,T,Y,6,B,N,CYTY6BN
63,F_parTab,E_exposureTab,C,Y,A,Y,3,B,N,CYAY3BN
64,H_parTab,E_exposureTab,C,Y,T,Y,3,B,N,CYTY3BN
65,E_parTab,B_exposureTab,I,N,A,N,6,M,Y,INAN6MY
66,G_parTab,B_exposureTab,I,N,T,N,6,M,Y,INTN6MY
67,F_parTab,C_exposureTab,I,N,A,N,3,M,Y,INAN3MY
68,H_parTab,C_exposureTab,I,N,T,N,3,M,Y,INTN3MY
69,E_parTab,B_exposureTab,I,N,A,N,6,B,Y,INAN6BY
70,G_parTab,B_exposureTab,I,N,T,N,6,B,Y,INTN6BY
71,F_parTab,C_exposureTab,I,N,A,N,3,B,Y,INAN3BY
72,H_parTab,C_exposureTab,I,N,T,N,3,B,Y,INTN3BY
73,E_parTab,B_exposureTab,I,N,A,N,6,M,N,INAN6MN
74,G_parTab,B_exposureTab,I,N,T,N,6,M,N,INTN6MN
75,F_parTab,C_exposureTab,I,N,A,N,3,M,N,INAN3MN
76,H_parTab,C_exposureTab,I,N,T,N,3,M,N,INTN3MN
77,E_parTab,B_exposureTab,I,N,A,N,6,B,N,INAN6BN
78,G_parTab,B_exposureTab,I,N,T,N,6,B,N,INTN6BN
79,F_parTab,C_exposureTab,I,N,A,N,3,B,N,INAN3BN
80,H_parTab,C_exposureTab,I,N,T,N,3,B,N,INTN3BN
81,E_parTab,D_exposureTab,I,N,A,Y,6,M,Y,INAY6MY
82,G_parTab,D_exposureTab,I,N,T,Y,6,M,Y,INTY6MY
83,F_parTab,E_exposureTab,I,N,A,Y,3,M,Y,INAY3MY
84,H_parTab,E_exposureTab,I,N,T,Y,3,M,Y,INTY3MY
85,E_parTab,D_exposureTab,I,N,A,Y,6,B,Y,INAY6BY
86,G_parTab,D_exposureTab,I,N,T,Y,6,B,Y,INTY6BY
87,F_parTab,E_exposureTab,I,N,A,Y,3,B,Y,INAY3BY
88,H_parTab,E_exposureTab,I,N,T,Y,3,B,Y,INTY3BY
89,E_parTab,D_exposureTab,I,N,A,Y,6,M,N,INAY6MN
90,G_parTab,D_exposureTab,I,N,T,Y,6,M,N,INTY6MN
91,F_parTab,E_exposureTab,I,N,A,Y,3,M,N,INAY3MN
92,H_parTab,E_exposureTab,I,N,T,Y,3,M,N,INTY3MN
93,E_parTab,D_exposureTab,I,N,A,Y,6,B,N,INAY6BN
94,G_parTab,D_exposureTab,I,N,T,Y,6,B,N,INTY6BN
95,F_parTab,E_exposureTab,I,N,A,Y,3,B,N,INAY3BN
96,H_parTab,E_exposureTab,I,N,T,Y,3,B,N,INTY3BN
97,E_parTab,B_exposureTab,I,Y,A,N,6,M,Y,IYAN6MY
98,G_parTab,B_exposureTab,I,Y,T,N,6,M,Y,IYTN6MY
99,F_parTab,C_exposureTab,I,Y,A,N,3,M,Y,IYAN3MY
100,H_parTab,C_exposureTab,I,Y,T,N,3,M,Y,IYTN3MY
101,E_parTab,B_exposureTab,I,Y,A,N,6,B,Y,IYAN6BY
102,G_parTab,B_exposureTab,I,Y,T,N,6,B,Y,IYTN6BY
103,F_parTab,C_exposureTab,I,Y,A,N,3,B,Y,IYAN3BY
104,H_parTab,C_exposureTab,I,Y,T,N,3,B,Y,IYTN3BY
105,E_parTab,B_exposureTab,I,Y,A,N,6,M,N,IYAN6MN
106,G_parTab,B_exposureTab,I,Y,T,N,6,M,N,IYTN6MN
107,F_parTab,C_exposureTab,I,Y,A,N,3,M,N,IYAN3MN
108,H_parTab,C_exposureTab,I,Y,T,N,3,M,N,IYTN3MN
109,E_parTab,B_exposureTab,I,Y,A,N,6,B,N,IYAN6BN
110,G_parTab,B_exposureTab,I,Y,T,N,6,B,N,IYTN6BN
111,F_parTab,C_exposureTab,I,Y,A,N,3,B,N,IYAN3BN
112,H_parTab,C_exposureTab,I,Y,T,N,3,B,N,IYTN3BN
113,E_parTab,D_exposureTab,I,Y,A,Y,6,M,Y,IYAY6MY
114,G_parTab,D_exposureTab,I,Y,T,Y,6,M,Y,IYTY6MY
115,F_parTab,E_exposureTab,I,Y,A,Y,3,M,Y,IYAY3MY
116,H_parTab,E_exposureTab,I,Y,T,Y,3,M,Y,IYTY3MY
117,E_parTab,D_exposureTab,I,Y,A,Y,6,B,Y,IYAY6BY
118,G_parTab,D_exposureTab,I,Y,T,Y,6,B,Y,IYTY6BY
119,F_parTab,E_exposureTab,I,Y,A,Y,3,B,Y,IYAY3BY
120,H_parTab,E_exposureTab,I,Y,T,Y,3,B,Y,IYTY3BY
121,E_parTab,D_exposureTab,I,Y,A,Y,6,M,N,IYAY6MN
122,G_parTab,D_exposureTab,I,Y,T,Y,6,M,N,IYTY6MN
123,F_parTab,E_exposureTab,I,Y,A,Y,3,M,N,IYAY3MN
124,H_parTab,E_exposureTab,I,Y,T,Y,3,M,N,IYTY3MN
125,E_parTab,D_exposureTab,I,Y,A,Y,6,B,N,IYAY6BN
126,G_parTab,D_exposureTab,I,Y,T,Y,6,B,N,IYTY6BN
127,F_parTab,E_exposureTab,I,Y,A,Y,3,B,N,IYAY3BN
128,H_parTab,E_exposureTab,I,Y,T,Y,3,B,N,IYTY3BN
